Name,Age,Salary,Company
Aaren,10,33120.48635514114,Apple
Aarika,61,47336.82728582579,Microsoft
Abagael,96,18029.8332962013,Amazon
Abagail,92,27367.130757939514,Microsoft
Abbe,23,42052.30328090525,Google
Abbey,56,16463.267740719384,Amazon
Abbi,89,25835.06934710862,Google
Abbie,77,14692.708798284748,Amazon
Abby,49,35427.50513613816,Apple
Abbye,78,46870.00579313976,Google
Abigael,83,31073.316345474464,Amazon
Abigail,93,28952.78733041935,Microsoft
Abigale,72,24196.02196430618,Apple
Abra,70,35435.1062528772,Apple
Ada,29,11447.104320735421,Google
Adah,33,11492.802582767676,Apple
Adaline,90,38655.41104751182,Apple
Adan,66,46163.124549991204,Google
Adara,55,37635.55606001268,Microsoft
Adda,24,27319.18796989742,Google
Addi,92,40277.47024959579,Apple
Addia,35,39261.63005868567,Amazon
Addie,26,21719.144672114155,Google
Addy,86,17402.9246824704,Apple
Adel,41,31645.384906335945,Microsoft
Adela,78,24147.064854183984,Google
Adelaida,91,23177.27332344265,Apple
Adelaide,66,12426.463346270311,Google
Adele,91,25115.439816794027,Microsoft
Adelheid,36,19581.83530221678,Apple
Adelice,17,17545.350607784065,Microsoft
Adelina,51,39867.31589028178,Microsoft
Adelind,81,34450.10575921291,Microsoft
Adeline,81,38714.847992505296,Amazon
Adella,25,30825.83324932657,Amazon
Adelle,25,10256.959364722583,Google
Adena,67,36052.15195509163,Google
Adey,81,40118.02806323656,Microsoft
Adi,81,39505.54964290826,Amazon
Adiana,47,31148.959365757848,Microsoft
Adina,27,27562.229383384132,Apple
Adora,52,37981.66354438188,Google
Adore,83,31539.389262536675,Microsoft
Adoree,39,28775.5935366573,Apple
Adorne,16,11465.185136660763,Apple
Adrea,87,25451.7170868295,Apple
Adria,16,37918.29799865054,Amazon
Adriaens,72,17567.510019835947,Google
Adrian,42,29983.19617184264,Amazon
Adriana,96,34662.58342935481,Amazon
Adriane,79,17447.300064095267,Microsoft
Adrianna,27,46656.31107563975,Microsoft
Adrianne,40,34916.599983727465,Microsoft
Adriena,76,15339.070296445536,Apple
Adrienne,68,49117.09125555445,Microsoft
Aeriel,11,10175.228951917692,Apple
Aeriela,28,32226.12323368333,Amazon
Aeriell,38,20911.69099274376,Google
Afton,65,36960.56779145822,Apple
Ag,82,14618.4168396243,Apple
Agace,16,36033.03441604106,Google
Agata,16,46909.669823664444,Amazon
Agatha,34,21543.458940339886,Google
Agathe,84,11714.641318590826,Apple
